cohort,n_tumor_patients,target,target_class,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_fdr
TCGA-LUSC,501,GPX1,redox marker,0.2914867953336356,2.870330425952438e-11,0.2662180587936159,1.4176616629833137e-09,6.88879302228585e-10
TCGA-LUSC,501,CAT,redox marker,0.21958203115680988,6.929237135031714e-07,0.23424931436044227,1.1323818234531804e-07,5.543389708025372e-06
TCGA-LUSC,501,SOD1,redox marker,0.21085163537466903,1.923098073440438e-06,0.23761789756103804,7.34155023020291e-08,7.692392293761752e-06
TCGA-LUSC,501,CD40,B-lineage marker,0.1813945654507718,4.427723062989037e-05,0.1727765032170198,0.00010154485410041767,0.00013283169188967113
TCGA-LUSC,501,EPCAM,other marker,0.09272285707469524,0.03801382839037672,0.10343549883341739,0.020578432178457846,0.060822125424602747
TCGA-LUSC,501,LST1,other marker,0.0867886537681609,0.05220916148929222,0.11009233855105488,0.013680560300314936,0.07831374223393833
TCGA-LUSC,501,NKG7,other marker,0.04076589450580911,0.3625253891814486,0.08523486777324492,0.056582811618678897,0.43503046701773834
TCGA-LUSC,501,CD3D,other marker,0.028257270319917937,0.528021263716697,0.06156575957735053,0.16885523065719596,0.6034528728190823
TCGA-LUSC,501,GSR,redox marker,-0.010035021829687765,0.8227115734734339,-0.0024406445760887952,0.9565426695331842,0.8227115734734339
TCGA-LUSC,501,NRF2_redox_marker_module,module,-0.011727365985161152,0.7934391685479293,0.036321919284477436,0.4172327225011153,0.8227115734734339
TCGA-LUSC,501,TXN,redox marker,-0.020302884271298043,0.6502955470931493,0.0033581956052188802,0.9402313846778462,0.7094133241016174
TCGA-LUSC,501,NQO1,redox marker,-0.04089347997232627,0.3610239398099453,-0.02156482282007265,0.630135337373883,0.43503046701773834
TCGA-LUSC,501,JCHAIN,B-lineage marker,-0.05852632583438701,0.19092571417025997,-0.05675330265276862,0.2047408004917285,0.25456761889367996
TCGA-LUSC,501,HMOX1,redox marker,-0.059099458453610705,0.18660968068246928,-0.04803709186229826,0.28320405107469027,0.25456761889367996
TCGA-LUSC,501,CD79B,B-lineage marker,-0.09580647927124945,0.03203155189000644,-0.11475102388774325,0.01015353869031394,0.05491123181143961
TCGA-LUSC,501,KRT5,other marker,-0.11245842975403775,0.011773290377621284,-0.16910720918638417,0.0001428959039431737,0.021735305312531598
TCGA-LUSC,501,B_lineage_marker_module,module,-0.13409423384307084,0.002633787309119831,-0.13299253844301448,0.0028581174968970204,0.005267574618239662
TCGA-LUSC,501,MS4A1,B-lineage marker,-0.13585054976158226,0.0023091486450157986,-0.15807949294599172,0.00038258151546171964,0.005038142498216288
TCGA-LUSC,501,MZB1,B-lineage marker,-0.1663602834172293,0.00018369680903570454,-0.16566791933207,0.0001955817988360311,0.0004408723416856909
TCGA-LUSC,501,Squamous_epithelial_module,module,-0.16806231361977245,0.00015729430586394825,-0.1826586590112894,3.9073117100527825e-05,0.000419451482303862
TCGA-LUSC,501,CD79A,B-lineage marker,-0.1825367273421285,3.9548675434216026e-05,-0.17556424843920546,7.796554501118143e-05,0.00013283169188967113
TCGA-LUSC,501,NFE2L2,redox marker,-0.21092921726268582,1.9060878276283623e-06,-0.1881809911820911,2.2404506353613963e-05,7.692392293761752e-06
TCGA-LUSC,501,CD19,B-lineage marker,-0.2139006710356503,1.35290914019202e-06,-0.22928616996972032,2.119025124315369e-07,7.692392293761752e-06
TCGA-LUSC,501,TP63,other marker,-0.2360364529904335,9.005287460331281e-08,-0.2335203073881703,1.2426534779837633e-07,1.0806344952397537e-06
